dataset,method,audience_id,code_path_id,edit_type,FRS_1,FRS_3,FRS_5,mean_abs_delta_frac_3
online-retail-ii,A1_typed_beam,A1_000,a1_typed_beam_portfolio,add,0.989902389767755,0.9707169303264894,0.9259508582968697,0.009761023224503534
online-retail-ii,A1_typed_beam,A1_000,a1_typed_beam_portfolio,drop,0.6637495792662403,0.6637495792662403,0.6220127903062942,0.27319645461685177
online-retail-ii,A1_typed_beam,A1_000,a1_typed_beam_portfolio,threshold,0.6637495792662403,0.6637495792662403,0.8111746886570178,0.21014248849994388
online-retail-ii,A1_typed_beam,A1_d2_000,a1_typed_beam_portfolio,add,0.9821608885897004,0.9761023224503534,0.9761023224503534,0.007965892516548861
online-retail-ii,A1_typed_beam,A1_d2_000,a1_typed_beam_portfolio,drop,0.991921911814204,0.5188488724335241,0.8460114439582632,0.3145405587344328
online-retail-ii,A1_typed_beam,A1_d2_000,a1_typed_beam_portfolio,threshold,0.9920902053180747,0.9729047458768092,0.8493773140356782,0.020924492314596657
online-retail-ii,A1_typed_beam,A1_d2_001,a1_typed_beam_portfolio,add,0.9762706159542242,0.9739145069000337,0.9740828004039044,0.008695164366655447
online-retail-ii,A1_typed_beam,A1_d2_001,a1_typed_beam_portfolio,drop,0.9754291484348704,0.8091551666105689,0.6364860316391787,0.08425894760462245
online-retail-ii,A1_typed_beam,A1_d2_001,a1_typed_beam_portfolio,threshold,0.9792998990238977,0.9717266913497139,0.6748569505217099,0.01032200157073937
online-retail-ii,A1_typed_beam,A1_d2_011,a1_typed_beam_portfolio,add,0.9712218108381017,0.9688657017839112,0.9688657017839112,0.010378099405362953
online-retail-ii,A1_typed_beam,A1_d2_011,a1_typed_beam_portfolio,drop,0.8306967351060249,0.6194883877482329,0.6194883877482329,0.24537192864355437
online-retail-ii,A1_typed_beam,A1_d2_011,a1_typed_beam_portfolio,threshold,0.9740828004039044,0.8773140356782229,0.6156176371592057,0.04953438797262425
online-retail-ii,A1_typed_beam,A1_003,a1_typed_beam_portfolio,add,0.9671827667452036,0.877145742174352,0.8892628744530461,0.04095141927521598
online-retail-ii,A1_typed_beam,A1_003,a1_typed_beam_portfolio,drop,0.852911477616964,0.6231908448333894,0.6231908448333894,0.13912262986648716
online-retail-ii,A1_typed_beam,A1_003,a1_typed_beam_portfolio,threshold,0.9594412655671491,0.6231908448333894,0.6231908448333894,0.23768652530012338
online-retail-ii,A1_typed_beam,A1_002,a1_typed_beam_portfolio,add,0.9776169639851902,0.9718949848535846,0.8345674856950521,0.00936833838213845
online-retail-ii,A1_typed_beam,A1_002,a1_typed_beam_portfolio,drop,0.9501851228542578,0.9171995960955908,0.8956580276001347,0.03859531022102547
online-retail-ii,A1_typed_beam,A1_002,a1_typed_beam_portfolio,threshold,0.9501851228542578,0.8956580276001347,0.8956580276001347,0.06238079210142489
online-retail-ii,A1_typed_beam,A1_d2_009,a1_typed_beam_portfolio,add,0.9843487041400202,0.983170649612925,0.983170649612925,0.005609783462358353
online-retail-ii,A1_typed_beam,A1_d2_009,a1_typed_beam_portfolio,drop,0.9661730057219792,0.8446650959272972,0.5175025244025581,0.06529787950185123
online-retail-ii,A1_typed_beam,A1_d2_009,a1_typed_beam_portfolio,threshold,0.9870414002019522,0.9742510939077752,0.980477953550993,0.012117132278694043
online-retail-ii,A1_typed_beam,A1_d2_003,a1_typed_beam_portfolio,add,0.9917536183103333,0.9833389431167957,0.9833389431167957,0.00555368562773477
online-retail-ii,A1_typed_beam,A1_d2_003,a1_typed_beam_portfolio,drop,0.992595085829687,0.6149444631437226,0.6149444631437226,0.2503085380904297
online-retail-ii,A1_typed_beam,A1_d2_003,a1_typed_beam_portfolio,threshold,0.99326825984517,0.984516997643891,0.9384045775833053,0.0061707618085941884
online-retail-ii,A0_propose_verify,A0_000,a0_schema_propose_verify,add,0.9353752945136318,0.922416694715584,0.9020531807472232,0.025861101761472008
online-retail-ii,A0_propose_verify,A0_000,a0_schema_propose_verify,drop,0.852911477616964,0.6637495792662403,0.6220127903062942,0.27319645461685177
online-retail-ii,A0_propose_verify,A0_000,a0_schema_propose_verify,threshold,0.6637495792662403,0.6637495792662403,0.6220127903062942,0.22416694715583976
online-retail-ii,A0_propose_verify,A0_001,a0_schema_propose_verify,add,0.9321777179400875,0.9769437899697072,0.8845506563446651,0.007685403343430944
online-retail-ii,A0_propose_verify,A0_001,a0_schema_propose_verify,drop,0.5456075395489735,0.5456075395489735,0.5188488724335241,0.4543924604510266
online-retail-ii,A0_propose_verify,A0_001,a0_schema_propose_verify,threshold,0.5456075395489735,0.5456075395489735,0.5188488724335241,0.4543924604510266
online-retail-ii,A0_propose_verify,A0_003,a0_schema_propose_verify,add,0.9853584651632447,0.9634803096600472,0.849545607539549,0.012173230113317626
online-retail-ii,A0_propose_verify,A0_003,a0_schema_propose_verify,drop,0.6637495792662403,0.6231908448333894,0.6231908448333894,0.23768652530012338
online-retail-ii,A0_propose_verify,A0_003,a0_schema_propose_verify,threshold,0.6637495792662403,0.6231908448333894,0.6231908448333894,0.20217659598339507
online-retail-ii,A0_propose_verify,A0_002,a0_schema_propose_verify,add,0.9860316391787277,0.8140356782228206,0.8212722988892629,0.06198810725905981
online-retail-ii,A0_propose_verify,A0_002,a0_schema_propose_verify,drop,0.9171995960955908,0.9286435543588017,0.8956580276001347,0.054751486592617526
online-retail-ii,A0_propose_verify,A0_002,a0_schema_propose_verify,threshold,0.9784584315045439,0.9286435543588017,0.8956580276001347,0.054751486592617526
online-retail-ii,A0_propose_verify,A0_004,a0_schema_propose_verify,add,0.9969707169303265,0.8712554695388758,0.8912823964994951,0.04291484348704141
online-retail-ii,A0_propose_verify,A0_004,a0_schema_propose_verify,drop,0.9321777179400875,0.8768091551666106,0.8768091551666106,0.08212722988892629
online-retail-ii,A0_propose_verify,A0_004,a0_schema_propose_verify,threshold,0.9789633120161562,0.9111410299562437,0.8768091551666106,0.08184674071580837
online-retail-ii,A0_propose_verify,A0_005,a0_schema_propose_verify,add,0.9983170649612925,0.8688993604846853,0.55604173678896,0.043700213171771564
online-retail-ii,A0_propose_verify,A0_005,a0_schema_propose_verify,drop,0.9094580949175362,0.9500168293503871,0.8916189835072367,0.04998317064961292
online-retail-ii,A0_propose_verify,A0_005,a0_schema_propose_verify,threshold,0.9500168293503871,0.9321777179400875,0.9321777179400875,0.045214854706608326
online-retail-ii,A0_propose_verify,A0_006,a0_schema_propose_verify,add,0.9941097273645237,0.9254459777852575,0.9569168630090878,0.024851340738247504
online-retail-ii,A0_propose_verify,A0_006,a0_schema_propose_verify,drop,0.8111746886570178,0.6220127903062942,0.8111746886570178,0.2871087176035005
online-retail-ii,A0_propose_verify,A0_006,a0_schema_propose_verify,threshold,0.8108381016492764,0.8111746886570178,0.6220127903062942,0.12588354089532144
online-retail-ii,A0_propose_verify,A0_007,a0_schema_propose_verify,add,0.9989902389767755,0.9013800067317401,0.9022214742510939,0.03287333108941995
