dataset,split,method,code_path_id,Fid,FRS_k1,FRS_k3,FRS_k5,mean_abs_delta_frac_k3,portfolio_novelty,redundancy,coverage,mean_jaccard_to_rfm,n_audiences,llm_wrote_membership
online-retail-ii,disc_eval_this_paper,A1_typed_beam,a1_typed_beam_portfolio,1.0,0.9829813194210704,0.90274739145069,0.9513842140693369,0.035313586895545826,0.8480110406748247,0.4174310662281927,0.08212722988892629,0.15198895932517537,8,False
online-retail-ii,disc_eval_this_paper,A0_propose_verify,a0_schema_propose_verify,1.0,0.976964826657691,0.9081538202625379,0.8477154156849546,0.03745231684056995,0.6942960168572861,0.32681519803943276,0.20582295523392796,0.30570398314271385,8,False
online-retail-ii,disc_eval_this_paper,A2_freetext,a2_nl_tag,1.0,0.8377440255806126,0.806441433860653,0.7870245708515652,0.112069449119264,0.6406094842097656,0.3615359925416247,0.46516324469875464,0.3593905157902344,8,False
online-retail-ii,disc_eval_this_paper,A4_random,a4_uniform_catalogue,1.0,0.9787529451363177,0.7726144395826321,0.8829729047458768,0.07938544822169866,0.6911167314029134,0.108954710663511,1.0,0.3088832685970866,8,False
online-retail-ii,disc_eval_this_paper,A5_rfm_fixed,a5_rfm_fixed,1.0,0.9853921238640189,0.6588354089532145,0.638572871087176,0.11909570290586786,0.0,0.1725057366343986,0.5955907101985863,1.0,5,False
online-retail-ii,disc_eval_this_paper,RFM_quintile,a5_rfm_fixed,1.0,0.9881857960282734,0.6463816896667789,0.49283069673510604,0.12489621900594636,0.0,0.1725057366343986,0.5955907101985863,1.0,5,False
online-retail-ii,disc_eval_this_paper,propensity_logistic_RFM,propensity_logistic_rfm,1.0,0.9821795878679082,0.8683009835820337,0.8145966565690563,0.07206078512036102,0.5591063116977618,0.3966360854664744,0.20043756311006394,0.4408936883022381,9,False
online-retail-ii,disc_eval_this_paper,BeamSD_WRAcc,beam_sd_wracc_no_portfolio,1.0,0.9882615281050152,0.9235737125546954,0.7479594412655671,0.028539773364748125,0.6942960168572861,0.3268151980394327,0.20582295523392796,0.30570398314271385,8,False
online-retail-ii,disc_eval_this_paper,ExKMC_IMM_paths,exkmc_kmeans_tree_path,1.0,0.9901969033995288,0.954750084146752,0.9269185459441265,0.023862616403006846,0.9329258558390181,0.049692016109926566,0.10148098283406261,0.06707414416098184,8,False
online-retail-ii,disc_eval_this_paper,Shi_persona_foil,shi_persona_foil,1.0,0.9999579266240324,0.11334567485695052,0.05431672837428475,0.29776029395265347,0.004712218108380961,1.0,0.995287781891619,0.995287781891619,8,False
online-retail-ii,disc_eval_this_paper,LACE_CtrlCE_foil,lace_nl_no_typed_freeze,1.0,0.9209441265567149,0.8199469875462807,0.7997728037697744,0.10404044653876361,0.6642768010316983,0.3230625987709775,0.4594412655671491,0.3357231989683018,8,False
complete-journey,disc_eval_this_paper,A1_typed_beam,a1_typed_beam_portfolio,1.0,0.683070068853787,0.611786148238153,0.5687019036046983,0.23803496692318077,0.9121963562753037,0.5427996597774861,0.02916160388821385,0.08780364372469635,8,False
complete-journey,disc_eval_this_paper,A0_propose_verify,a0_schema_propose_verify,1.0,0.8185500202511138,0.59983799108951,0.5409072498987444,0.2396381800999055,0.895748987854251,0.4305555555555556,0.02916160388821385,0.10425101214574899,2,False
complete-journey,disc_eval_this_paper,RFM_quintile,a5_rfm_fixed,1.0,0.9048197650870797,0.5880113406237342,0.3586067233697853,0.19921695693263128,0.0,0.13148176151180668,0.6366950182260024,1.0,5,False
complete-journey,disc_eval_this_paper,propensity_logistic_RFM,propensity_logistic_rfm,1.0,0.8168399261959408,0.6171189415417848,0.4732010260564331,0.2256274095075229,0.6979307242465137,0.28243970070289204,0.1644390441474281,0.3020692757534863,9,False
complete-journey,disc_eval_this_paper,BeamSD_WRAcc,beam_sd_wracc_no_portfolio,1.0,0.6896516808424463,0.6492507087889834,0.550577156743621,0.1828506817874983,0.8671558704453441,0.9599728629579376,0.02713649250708789,0.13284412955465585,8,False
complete-journey,disc_eval_this_paper,ExKMC_IMM_paths,exkmc_kmeans_tree_path,1.0,0.966383151073309,0.871607938436614,0.8150567031186715,0.05059403267179695,0.8736798098926246,0.08609957061062122,0.35398946942081816,0.12632019010737547,8,False
complete-journey,disc_eval_this_paper,LACE_CtrlCE_foil,lace_nl_no_typed_freeze,1.0,0.750354394491697,0.5331105710814095,0.4653199675982179,0.19989536924530849,0.4376265694613204,0.41084769407984584,0.9384366140137708,0.5623734305386796,8,False
